scenario,scale,n_items,algorithm,trial,time_s
small_first,10,180,Knapsack,1,0.08348520001163706
small_first,10,180,Knapsack,2,0.08289679995505139
small_first,10,180,Knapsack,3,0.08362569997552782
small_first,10,180,BnB,1,0.0039243000210262835
small_first,10,180,BnB,2,0.0039026999729685485
small_first,10,180,BnB,3,0.0033971999655477703
mixed_adversarial,1,18,FirstFit,1,1.090002479031682e-05
mixed_adversarial,1,18,FirstFit,2,8.700008038431406e-06
mixed_adversarial,1,18,FirstFit,3,8.000002708286047e-06
mixed_adversarial,1,18,BestFit,1,1.479999627918005e-05
mixed_adversarial,1,18,BestFit,2,1.0800024028867483e-05
mixed_adversarial,1,18,BestFit,3,1.0500021744519472e-05
mixed_adversarial,1,18,FFD,1,2.3300002794712782e-05
mixed_adversarial,1,18,FFD,2,2.0200037397444248e-05
mixed_adversarial,1,18,FFD,3,1.9900035113096237e-05
mixed_adversarial,1,18,Knapsack,1,0.0012830999912694097
mixed_adversarial,1,18,Knapsack,2,0.0012552000116556883
mixed_adversarial,1,18,Knapsack,3,0.001240900019183755
mixed_adversarial,1,18,BnB,1,0.0001653000363148749
mixed_adversarial,1,18,BnB,2,0.00012939999578520656
mixed_adversarial,1,18,BnB,3,0.0001246000174432993
mixed_adversarial,2,36,FirstFit,1,2.2899999748915434e-05
mixed_adversarial,2,36,FirstFit,2,2.1299987565726042e-05
mixed_adversarial,2,36,FirstFit,3,2.0300038158893585e-05
mixed_adversarial,2,36,BestFit,1,2.629996743053198e-05
mixed_adversarial,2,36,BestFit,2,2.4499953724443913e-05
mixed_adversarial,2,36,BestFit,3,2.4699955247342587e-05
mixed_adversarial,2,36,FFD,1,6.890000076964498e-05
mixed_adversarial,2,36,FFD,2,7.079995702952147e-05
mixed_adversarial,2,36,FFD,3,6.620003841817379e-05
mixed_adversarial,2,36,Knapsack,1,0.004370199982076883
mixed_adversarial,2,36,Knapsack,2,0.0043397999834269285
mixed_adversarial,2,36,Knapsack,3,0.0043126000091433525
mixed_adversarial,2,36,BnB,1,0.0011475000064820051
mixed_adversarial,2,36,BnB,2,0.0010912999860011041
mixed_adversarial,2,36,BnB,3,0.0012906999909318984
mixed_adversarial,5,90,FirstFit,1,9.859999408945441e-05
mixed_adversarial,5,90,FirstFit,2,9.590003173798323e-05
mixed_adversarial,5,90,FirstFit,3,9.499996667727828e-05
mixed_adversarial,5,90,BestFit,1,9.940000018104911e-05
mixed_adversarial,5,90,BestFit,2,0.00010070001007989049
mixed_adversarial,5,90,BestFit,3,9.019998833537102e-05
mixed_adversarial,5,90,FFD,1,0.00042830000165849924
mixed_adversarial,5,90,FFD,2,0.0003776999656111002
